name	instruction
H514	√
H521	√
H527	√
H528	√
H529	√
H530	银刀模型，平台加载出来模型会闪。需要检查模型
H550	√
J301	√
J302	√
J303	有些许宽条棱现象
J304	√
J305	√
J306	√
J307	√
J309	贴图分辨率较低
J312	√
J315	√
J316	√
J317	贴图分辨率较低
J318	√
J319	√
J320	√
J321	有些许宽条棱现象
J322	√
J323	有些许宽条棱现象
J324	√
J325	√
J326	贴图分辨率较低
J327	贴图分辨率较低
J328	贴图分辨率较低
J330	√
J331	有些许宽条棱现象
J332	√
J333	√
J334	√
J335	√
J336	√
J337	贴图分辨率较低
J338	模型有问题！
J339	√
J340	√
J341	贴图分辨率较低
J342	√
J343	√
J344	√
J345	√
J346	√
J347	√
J348	√
J349	√
J350	√
J351	√
L402	√
L403	√
L405	√
L408	√
L409	√
L410	√
L412	√
L413	√
L436	有些许宽条棱现象
L437	√
Y201	√
Y205	√
Y208	√
Y210	√
Y212	√
Y216	√
Y222	√
